Nome_Jogo,Plataforma,Ano_de_Lancamento,Genero,Editora,NA_Vendas,EU_Vendas,JP_Vendas,Outras_Vendas,Vendas_Globais,Pontuacao_Critica,Contagem_Critica,Pontuacao_do_usuario,Contagem_de_usuarios,Desenvolvedor,Classificacao
Gran Turismo 3: A-Spec,PS2,2001,Corrida,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54,8.4,314,Polyphony Digital,Livre
Call of Duty: Modern Warfare 3,X360,2011,Tiro,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81,3.4,8713,"Infinity Ward, Sledgehammer Games",+17
Pokémon Yellow: Special Pikachu Edition,GB,1998,Rpg,Nintendo,5.89,5.04,3.12,0.59,14.64,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Call of Duty: Black Ops 3,PS4,2015,Tiro,Activision,6.03,5.86,0.36,2.38,14.63,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Call of Duty: Black Ops,X360,2010,Tiro,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89,6.3,1454,Treyarch,+17
Pokemon X/Pokemon Y,3DS,2013,Rpg,Nintendo,5.28,4.19,4.35,0.78,14.6,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Call of Duty: Black Ops II,PS3,2012,Tiro,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21,5.3,922,Treyarch,+17
Call of Duty: Black Ops II,X360,2012,Tiro,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73,4.8,2256,Treyarch,+17
Call of Duty: Modern Warfare 2,X360,2009,Tiro,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100,6.3,2698,Infinity Ward,+17
Call of Duty: Modern Warfare 3,PS3,2011,Tiro,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39,3.2,5234,"Infinity Ward, Sledgehammer Games",+17
Grand Theft Auto III,PS2,2001,Acao,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56,8.5,664,DMA Design,+17
Super Smash Bros. Brawl,Wii,2008,Combate,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81,8.9,1662,Game Arts,+14
Mario Kart 7,3DS,2011,Corrida,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",Livre
Call of Duty: Black Ops,PS3,2010,Tiro,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58,6.4,1094,Treyarch,+17
Grand Theft Auto V,PS4,2014,Acao,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66,8.3,2899,Rockstar North,+17
Animal Crossing: Wild World,DS,2005,Simulação,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57,8.7,242,Nintendo,Livre
Halo 3,X360,2007,Tiro,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86,7.8,4100,"Bungie Software, Bungie",+17
Super Mario 64,N64,1996,Plataforma,Nintendo,6.91,2.85,1.91,0.23,11.89,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Acao,Nintendo,4.34,2.71,3.96,0.76,11.77,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Rpg,Nintendo,4.35,3.49,3.1,0.74,11.68,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Gran Turismo 4,PS2,2004,Corrida,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74,8.5,272,Polyphony Digital,Livre
Super Mario Galaxy,Wii,2007,Plataforma,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73,8.9,2147,Nintendo,Livre
Super Mario Land 2: 6 Golden Coins,GB,1992,Aventura,Nintendo,6.16,2.04,2.69,0.29,11.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Grand Theft Auto IV,X360,2008,Acao,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86,7.9,2951,Rockstar North,+17
Gran Turismo,PS,1997,Corrida,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16,8.7,138,Polyphony Digital,Livre
Super Mario 3D Land,3DS,2011,Plataforma,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82,8.4,921,Nintendo,Livre
Gran Turismo 5,PS3,2010,Corrida,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82,7.5,1112,Polyphony Digital,Livre
Call of Duty: Modern Warfare 2,PS3,2009,Tiro,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67,6.3,2073,Infinity Ward,+17
Super Mario All-Stars,SNES,1993,Plataforma,Nintendo,5.99,2.15,2.12,0.29,10.55,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Grand Theft Auto IV,PS3,2008,Acao,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64,7.5,2833,Rockstar North,+17
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Rpg,Nintendo,4.34,2.65,3.15,0.35,10.49,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Super Mario 64,DS,2004,Plataforma,Nintendo,5.01,3.07,1.25,0.97,10.3,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Call of Duty: Ghosts,X360,2013,Tiro,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29,2.6,2117,Infinity Ward,+17
Just Dance 3,Wii,2011,Diversos,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15,7.8,16,Ubisoft,+10
New Super Mario Bros. 2,3DS,2012,Plataforma,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70,7.2,424,Nintendo,Livre
Mario Kart 64,N64,1996,Corrida,Nintendo,5.55,1.94,2.23,0.15,9.87,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Halo: Reach,X360,2010,Tiro,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99,7.9,2045,Bungie,+17
Final Fantasy VII,PS,1997,Rpg,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20,9.2,1282,SquareSoft,+14
Halo 4,X360,2012,Tiro,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87,7.0,3260,343 Industries,+17
Gran Turismo 2,PS,1999,Corrida,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23,9.0,135,Polyphony Digital,+14
Just Dance 2,Wii,2010,Diversos,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24,7.3,24,Ubisoft,+10
Call of Duty: Ghosts,PS3,2013,Tiro,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10,2.6,1047,Infinity Ward,+17
Call of Duty 4: Modern Warfare,X360,2007,Tiro,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70,8.4,1320,Infinity Ward,+17
Donkey Kong Country,SNES,1994,Plataforma,Nintendo,4.36,1.71,3.0,0.23,9.3,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Minecraft,X360,2013,Diversos,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Animal Crossing: New Leaf,3DS,2012,Simulação,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70,8.7,626,Nintendo,Livre
Mario Party DS,DS,2007,Diversos,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27,7.8,85,Hudson Soft,Livre
The Elder Scrolls V: Skyrim,X360,2011,Rpg,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89,8.4,3589,Bethesda Game Studios,+17
Super Mario Kart,SNES,1992,Corrida,Nintendo,3.54,1.24,3.81,0.18,8.76,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
FIFA 16,PS4,2015,Esporte,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42,4.3,896,EA Sports,Livre
Halo 2,XB,2004,Tiro,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91,8.2,1218,Bungie Software,+17
Wii Party,Wii,2010,Diversos,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42,7.4,54,Nd Cube,Livre
Mario Party 8,Wii,2007,Diversos,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41,6.3,190,Hudson,Livre
FIFA Soccer 13,PS3,2012,Acao,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37,6.6,348,Electronic Arts,Livre
GoldenEye 007,N64,1997,Tiro,Nintendo,5.8,2.01,0.13,0.15,8.09,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pokemon Black 2/Pokemon White 2,DS,2012,Rpg,Nintendo,2.79,1.72,3.14,0.41,8.07,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Final Fantasy X,PS2,2001,Rpg,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53,8.7,1056,SquareSoft,+14
The Sims 3,PC,2009,Simulação,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75,7.6,886,The Sims Studio,+14
Mario & Sonic at the Olympic Games,Wii,2007,Esporte,Sega,2.57,3.86,0.66,0.91,7.99,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Star Wars Battlefront (2015),PS4,2015,Tiro,Electronic Arts,2.99,3.49,0.22,1.28,7.98,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Final Fantasy VIII,PS,1999,Rpg,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24,8.6,644,SquareSoft,+14
Pac-Man,2600,1982,Quebra_cabeca,Atari,7.28,0.45,0.0,0.08,7.81,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pokémon Platinum Version,DS,2008,Rpg,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46,8.5,203,Game Freak,Livre
Grand Theft Auto: Liberty City Stories,PSP,2005,Acao,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65,7.6,451,Rockstar Leeds,+17
Call of Duty: Advanced Warfare,PS4,2014,Tiro,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39,5.7,1443,Sledgehammer Games,+17
The Legend of Zelda: Ocarina of Time,N64,1998,Acao,Nintendo,4.1,1.89,1.45,0.16,7.6,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
FIFA 17,PS4,2016,Esporte,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41,5.0,398,"EA Sports, EA Vancouver",Livre
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Plataforma,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Super Smash Bros. for Wii U and 3DS,3DS,2014,Combate,Nintendo,3.27,1.37,2.43,0.48,7.55,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Super Mario Galaxy 2,Wii,2010,Plataforma,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87,9.1,1854,Nintendo EAD Tokyo,Livre
Super Mario Bros. 2,NES,1988,Plataforma,Nintendo,5.39,1.18,0.7,0.19,7.46,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Call of Duty: Black Ops 3,XOne,2015,Tiro,Activision,4.59,2.11,0.01,0.68,7.39,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Call of Duty: World at War,X360,2008,Tiro,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84,7.6,580,Treyarch,+17
Battlefield 3,X360,2011,Tiro,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57,7.4,2142,EA DICE,+17
Need for Speed Underground,PS2,2003,Corrida,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33,8.6,171,EA Black Box,Livre
Just Dance,Wii,2009,Diversos,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21,8.0,110,Ubisoft Paris,+10
Battlefield 3,PS3,2011,Tiro,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38,7.5,1761,EA DICE,+17
Fallout 4,PS4,2015,Rpg,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58,6.5,4228,Bethesda Game Studios,+17
Tekken 3,PS,1998,Combate,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15,9.1,367,Namco,+14
The Legend of Zelda: Twilight Princess,Wii,2006,Acao,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73,9.0,1658,Nintendo,+14
Pokemon Sun/Moon,3DS,2016,Rpg,Nintendo,2.98,1.45,2.26,0.45,7.14,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Crash Bandicoot 3: Warped,PS,1998,Plataforma,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12,8.9,432,Naughty Dog,Livre
Mario Kart 8,WiiU,2014,Corrida,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82,9.1,1599,Nintendo,Livre
Super Smash Bros. Melee,GC,2001,Combate,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38,9.1,568,HAL Labs,+14
Mario Kart: Double Dash!!,GC,2003,Corrida,Nintendo,4.12,1.77,0.87,0.19,6.95,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Need for Speed Underground 2,PS2,2004,Corrida,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39,8.6,132,EA Canada,Livre
Medal of Honor: Frontline,PS2,2002,Tiro,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29,8.5,135,EA LA,+14
Crash Bandicoot,PS,1996,Plataforma,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Just Dance 4,Wii,2012,Diversos,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10,7.3,28,Ubisoft,+10
Gears of War 2,X360,2008,Tiro,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90,7.7,2739,Epic Games,+17
Uncharted 3: Drake's Deception,PS3,2011,Acao,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97,8.3,3712,Naughty Dog,+14
Zumba Fitness,Wii,2010,Esporte,505 Games,3.45,2.59,0.0,0.66,6.71,Nao_Inserido,0,Nao_Inserido,0,"Pipeworks Software, Inc.",Livre
Call of Duty 4: Modern Warfare,PS3,2007,Tiro,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44,8.4,993,Infinity Ward,+17
Uncharted 2: Among Thieves,PS3,2009,Acao,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105,8.8,5187,Naughty Dog,+14
FIFA 12,PS3,2011,Esporte,Electronic Arts,0.84,4.3,0.11,1.39,6.65,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Big Brain Academy,DS,2005,Diversos,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45,7.4,27,Nintendo,Livre
The Legend of Zelda,NES,1986,Acao,Nintendo,3.74,0.93,1.69,0.14,6.51,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Red Dead Redemption,PS3,2010,Acao,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73,8.8,2456,Rockstar San Diego,+17
FIFA 14,PS3,2013,Esporte,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37,4.3,576,EA Canada,Livre
Assassin's Creed III,PS3,2012,Acao,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41,6.9,1307,Ubisoft,+17
Donkey Kong Country Returns,Wii,2010,Plataforma,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77,8.6,368,Retro Studios,Livre
Halo: Combat Evolved,XB,2001,Tiro,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68,8.6,1283,Bungie Software,+17
The Elder Scrolls V: Skyrim,PS3,2011,Rpg,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16,6.4,2527,Bethesda Game Studios,+17
Pokémon Emerald Version,GBA,2004,Rpg,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28,9.0,222,Game Freak,Livre
Kingdom Hearts,PS2,2002,Rpg,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46,8.8,597,SquareSoft,Livre
Pokémon Crystal Version,GB,2000,Rpg,Nintendo,2.55,1.56,1.29,0.99,6.39,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Halo 3: ODST,X360,2009,Tiro,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94,7.1,1163,"Bungie Software, Bungie",+17
Red Dead Redemption,X360,2010,Acao,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96,9.0,2316,Rockstar San Diego,+17
Super Mario Sunshine,GC,2002,Plataforma,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61,8.6,439,Nintendo,Livre
Street Fighter II: The World Warrior,SNES,1992,Combate,Capcom,2.47,0.83,2.87,0.12,6.3,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
World of Warcraft,PC,2004,Rpg,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57,7.3,2182,Blizzard Entertainment,+14
Driver,PS,1999,Acao,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22,8.1,78,Reflections Interactive,+14
Gears of War 3,X360,2011,Tiro,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96,7.8,1504,Epic Games,+17
Kinect Sports,X360,2010,Esporte,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51,7.4,95,Rare Ltd.,+10
Gears of War,X360,2006,Tiro,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88,8.3,2295,Epic Games,+17
FIFA 15,PS4,2014,Esporte,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47,5.7,988,EA Sports,Livre
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Acao,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42,8.7,1026,KCEJ,+17
Sonic the Hedgehog 2,GEN,1992,Plataforma,Sega,4.47,1.2,0.16,0.19,6.03,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Metal Gear Solid,PS,1998,Acao,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20,9.4,918,KCEJ,+17
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Acao,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82,8.7,3558,Kojima Productions,+17
Final Fantasy XII,PS2,2006,Rpg,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64,7.6,972,Square Enix,+14
The Last of Us,PS3,2013,Acao,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98,9.1,8003,Naughty Dog,+17
LittleBigPlanet,PS3,2008,Plataforma,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85,6.8,5311,"SCE/WWS, Media Molecule",Livre
Resident Evil 2,PS,1998,Acao,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13,9.2,364,Capcom,+17
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Rpg,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65,8.8,197,Level 5,+10
Tekken 2,PS,1996,Combate,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8,8.9,102,Namco,+14
Destiny,PS4,2014,Tiro,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95,6.1,5380,"Bungie Software, Bungie",+14
LEGO Star Wars: The Complete Saga,Wii,2007,Acao,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17,8.9,62,Traveller's Tales,+10
Cooking Mama,DS,2006,Simulação,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35,7.2,21,Taito Corporation,Livre
Tetris,NES,1988,Quebra_cabeca,Nintendo,2.97,0.69,1.81,0.11,5.58,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Super Smash Bros.,N64,1999,Combate,Nintendo,2.95,0.6,1.97,0.04,5.55,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Assassin's Creed II,PS3,2009,Acao,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70,8.6,1202,Ubisoft Montreal,+17
Assassin's Creed,X360,2007,Aventura,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77,7.7,1074,Ubisoft Montreal,+17
Forza Motorsport 3,X360,2009,Corrida,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90,8.0,516,Turn 10,Livre
Super Mario Advance,GBA,2001,Plataforma,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19,7.8,41,Nintendo,Livre
Monster Hunter Freedom Unite,PSP,2008,Rpg,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48,8.7,124,Capcom,+14
Batman: Arkham City,PS3,2011,Acao,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42,8.6,2162,Rocksteady Studios,+14
Grand Theft Auto V,XOne,2014,Acao,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14,7.9,764,Rockstar North,+17
Mario Kart: Super Circuit,GBA,2001,Corrida,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24,8.3,108,Intelligent Systems,Livre
Super Mario World,GBA,2001,Plataforma,Nintendo,3.21,1.11,0.95,0.2,5.46,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pokemon Stadium,N64,1999,Estratégia,Nintendo,3.18,1.24,0.94,0.09,5.45,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Plataforma,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22,7.1,156,Traveller's Tales,Livre
Call of Duty: World at War,PS3,2008,Tiro,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45,7.6,409,Treyarch,+17
Uncharted 4: A Thief's End,PS4,2016,Tiro,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113,7.9,7064,Naughty Dog,+14
