Nome_Jogo,Plataforma,Ano_de_Lancamento,Genero,Editora,NA_Vendas,EU_Vendas,JP_Vendas,Outras_Vendas,Vendas_Globais,Pontuacao_Critica,Contagem_Critica,Pontuacao_do_usuario,Contagem_de_usuarios,Desenvolvedor,Classificacao,Faixa_Etaria,Sucesso_Comercial,Percentual_NA,Percentual_EU,Percentual_JP,Percentual_Outras,Ranking_Genero
Call of Duty: Black Ops,X360,2010,Tiro,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89,6.3,1454,Treyarch,+17,Restrito,Baixo,66.39288158795345,25.188227241615337,0.7529089664613279,0.07734428473648186,4.0
Pokemon X/Pokemon Y,3DS,2013,Rpg,Nintendo,5.28,4.19,4.35,0.78,14.6,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,36.16438356164384,28.698630136986303,29.794520547945204,0.05342465753424658,7.0
Call of Duty: Black Ops II,PS3,2012,Tiro,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21,5.3,922,Treyarch,+17,Restrito,Baixo,36.18564176939812,41.55184916606237,4.7135605511240035,0.1754894851341552,5.0
Call of Duty: Black Ops II,X360,2012,Tiro,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73,4.8,2256,Treyarch,+17,Restrito,Baixo,60.35113386978785,31.016825164594003,0.5120702267739576,0.08193123628383323,6.0
Call of Duty: Modern Warfare 2,X360,2009,Tiro,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100,6.3,2698,Infinity Ward,+17,Restrito,Baixo,63.25167037861915,26.651818856718634,0.5939123979213066,0.09502598366740905,7.0
Call of Duty: Modern Warfare 3,PS3,2011,Tiro,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39,3.2,5234,"Infinity Ward, Sledgehammer Games",+17,Restrito,Baixo,41.591591591591595,43.018018018018026,3.6786786786786783,0.11786786786786788,8.0
Grand Theft Auto III,PS2,2001,Acao,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56,8.5,664,DMA Design,+17,Restrito,Baixo,53.35877862595421,34.42748091603053,2.2900763358778624,0.09923664122137406,5.0
Super Smash Bros. Brawl,Wii,2008,Combate,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81,8.9,1662,Game Arts,+14,Restrito,Baixo,51.557632398753896,19.859813084112147,20.716510903426794,0.07866043613707165,1.0
Mario Kart 7,3DS,2011,Corrida,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",Livre,Todos,Baixo,39.73143759873618,31.753554502369663,21.248025276461295,0.07187993680884676,4.0
Call of Duty: Black Ops,PS3,2010,Tiro,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58,6.4,1094,Treyarch,+17,Restrito,Baixo,47.42676167854315,34.600158353127476,3.800475059382422,0.1417260490894695,9.0
Grand Theft Auto V,PS4,2014,Acao,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66,8.3,2899,Rockstar North,+17,Restrito,Baixo,31.403647898493258,50.039651070578905,3.013481363996828,0.15622521808088818,6.0
Animal Crossing: Wild World,DS,2005,Simulação,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57,8.7,242,Nintendo,Livre,Todos,Baixo,20.61005770816158,28.441879637262986,43.94064303380049,0.07089859851607584,2.0
Halo 3,X360,2007,Tiro,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86,7.8,4100,"Bungie Software, Bungie",+17,Restrito,Baixo,65.75907590759076,23.184818481848186,1.0726072607260728,0.09983498349834984,10.0
Super Mario 64,N64,1996,Plataforma,Nintendo,6.91,2.85,1.91,0.23,11.89,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,58.11606391925989,23.969722455845247,16.063919259882255,0.01934398654331371,7.0
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Acao,Nintendo,4.34,2.71,3.96,0.76,11.77,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,36.87340696686491,23.02463891248938,33.64485981308411,0.06457094307561598,7.0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Rpg,Nintendo,4.35,3.49,3.1,0.74,11.68,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,37.2431506849315,29.88013698630137,26.541095890410958,0.06335616438356165,8.0
Gran Turismo 4,PS2,2004,Corrida,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74,8.5,272,Polyphony Digital,Livre,Todos,Baixo,25.8147512864494,0.08576329331046312,9.433962264150944,0.6457975986277873,5.0
Super Mario Galaxy,Wii,2007,Plataforma,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73,8.9,2147,Nintendo,Livre,Todos,Baixo,53.3920704845815,29.515418502202646,10.572687224669604,0.06519823788546256,8.0
Super Mario Land 2: 6 Golden Coins,GB,1992,Aventura,Nintendo,6.16,2.04,2.69,0.29,11.18,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,55.098389982110916,18.246869409660107,24.0608228980322,0.0259391771019678,1.0
Grand Theft Auto IV,X360,2008,Acao,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86,7.9,2951,Rockstar North,+17,Restrito,Baixo,61.398728428701176,27.883742052679384,1.2715712988192553,0.0935513169845595,8.0
Gran Turismo,PS,1997,Corrida,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16,8.7,138,Polyphony Digital,Livre,Todos,Baixo,36.71232876712329,35.34246575342466,23.19634703196347,0.047488584474885846,6.0
Super Mario 3D Land,3DS,2011,Plataforma,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82,8.4,921,Nintendo,Livre,Todos,Baixo,45.23589269195189,27.752081406105454,19.79648473635523,0.07215541165587419,9.0
Gran Turismo 5,PS3,2010,Corrida,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82,7.5,1112,Polyphony Digital,Livre,Todos,Baixo,27.663551401869164,45.04672897196262,7.570093457943925,0.197196261682243,7.0
Call of Duty: Modern Warfare 2,PS3,2009,Tiro,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67,6.3,2073,Infinity Ward,+17,Restrito,Baixo,47.07547169811321,34.339622641509436,3.5849056603773586,0.15094339622641512,11.0
Super Mario All-Stars,SNES,1993,Plataforma,Nintendo,5.99,2.15,2.12,0.29,10.55,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,56.77725118483412,20.379146919431275,20.09478672985782,0.02748815165876777,10.0
Grand Theft Auto IV,PS3,2008,Acao,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64,7.5,2833,Rockstar North,+17,Restrito,Baixo,45.33333333333333,35.14285714285714,4.190476190476191,0.15333333333333335,9.0
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Rpg,Nintendo,4.34,2.65,3.15,0.35,10.49,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,41.372735938989514,25.26215443279313,30.028598665395613,0.03336510962821735,9.0
Super Mario 64,DS,2004,Plataforma,Nintendo,5.01,3.07,1.25,0.97,10.3,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,48.64077669902912,29.80582524271844,12.135922330097086,0.09417475728155339,11.0
Call of Duty: Ghosts,X360,2013,Tiro,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29,2.6,2117,Infinity Ward,+17,Restrito,Baixo,65.65853658536585,24.975609756097562,0.3902439024390244,0.08878048780487806,12.0
Just Dance 3,Wii,2011,Diversos,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15,7.8,16,Ubisoft,+10,Restrito,Baixo,58.79446640316206,30.731225296442688,0.0,0.10474308300395259,4.0
New Super Mario Bros. 2,3DS,2012,Plataforma,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70,7.2,424,Nintendo,Livre,Todos,Baixo,36.96969696969697,31.717171717171716,24.94949494949495,0.06363636363636363,12.0
Mario Kart 64,N64,1996,Corrida,Nintendo,5.55,1.94,2.23,0.15,9.87,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,56.23100303951368,19.65552178318136,22.593718338399192,0.015197568389057751,8.0
Halo: Reach,X360,2010,Tiro,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99,7.9,2045,Bungie,+17,Restrito,Baixo,71.39959432048681,19.77687626774848,0.8113590263691683,0.08012170385395538,13.0
Final Fantasy VII,PS,1997,Rpg,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20,9.2,1282,SquareSoft,+14,Restrito,Baixo,30.967078189300405,25.411522633744855,33.74485596707819,0.09876543209876543,10.0
Halo 4,X360,2012,Tiro,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87,7.0,3260,343 Industries,+17,Restrito,Baixo,68.48609680741504,23.48094747682801,0.4119464469618949,0.07621009268795056,14.0
Gran Turismo 2,PS,1999,Corrida,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23,9.0,135,Polyphony Digital,+14,Restrito,Baixo,40.88514225500527,36.03793466807165,17.80821917808219,0.05268703898840885,9.0
Just Dance 2,Wii,2010,Diversos,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24,7.3,24,Ubisoft,+10,Restrito,Baixo,61.440677966101696,30.1906779661017,0.1059322033898305,0.0826271186440678,5.0
Call of Duty: Ghosts,PS3,2013,Tiro,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10,2.6,1047,Infinity Ward,+17,Restrito,Baixo,43.8034188034188,38.782051282051285,4.05982905982906,0.13354700854700854,15.0
Call of Duty 4: Modern Warfare,X360,2007,Tiro,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70,8.4,1320,Infinity Ward,+17,Restrito,Baixo,63.69495166487648,25.349087003222337,1.3963480128893662,0.09667024704618689,16.0
Donkey Kong Country,SNES,1994,Plataforma,Nintendo,4.36,1.71,3.0,0.23,9.3,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,46.88172043010753,18.387096774193544,32.25806451612903,0.024731182795698924,13.0
Minecraft,X360,2013,Diversos,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,62.091503267973856,28.86710239651416,0.2178649237472767,0.08823529411764706,6.0
Animal Crossing: New Leaf,3DS,2012,Simulação,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70,8.7,626,Nintendo,Livre,Todos,Baixo,22.16157205240174,25.76419213973799,47.92576419213974,0.0425764192139738,3.0
Mario Party DS,DS,2007,Diversos,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27,7.8,85,Hudson Soft,Livre,Todos,Baixo,49.38271604938272,20.763187429854096,22.22222222222222,0.07631874298540965,7.0
The Elder Scrolls V: Skyrim,X360,2011,Rpg,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89,8.4,3589,Bethesda Game Studios,+17,Restrito,Baixo,57.45164960182025,31.740614334470997,1.137656427758817,0.09670079635949944,11.0
Super Mario Kart,SNES,1992,Corrida,Nintendo,3.54,1.24,3.81,0.18,8.76,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,40.41095890410959,14.15525114155251,43.49315068493151,0.02054794520547945,10.0
FIFA 16,PS4,2015,Esporte,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42,4.3,896,EA Sports,Livre,Todos,Baixo,13.068844807467912,71.41190198366394,0.7001166861143523,0.14935822637106183,5.0
Halo 2,XB,2004,Tiro,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91,8.2,1218,Bungie Software,+17,Restrito,Baixo,80.32979976442874,18.021201413427562,0.5889281507656066,0.009422850412249705,17.0
Wii Party,Wii,2010,Diversos,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42,7.4,54,Nd Cube,Livre,Todos,Baixo,20.88305489260143,41.408114558472555,29.713603818615752,0.07995226730310262,8.0
Mario Party 8,Wii,2007,Diversos,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41,6.3,190,Hudson,Livre,Todos,Baixo,45.22370012091899,27.085852478839183,19.105199516324063,0.08464328899637243,9.0
FIFA Soccer 13,PS3,2012,Acao,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37,6.6,348,Electronic Arts,Livre,Todos,Baixo,12.990196078431374,61.397058823529406,1.5931372549019607,0.24142156862745098,10.0
GoldenEye 007,N64,1997,Tiro,Nintendo,5.8,2.01,0.13,0.15,8.09,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,71.69344870210136,24.845488257107537,1.6069221260815822,0.018541409147095178,18.0
Pokemon Black 2/Pokemon White 2,DS,2012,Rpg,Nintendo,2.79,1.72,3.14,0.41,8.07,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,34.572490706319705,21.313506815365553,38.90954151177199,0.050805452292441135,12.0
Final Fantasy X,PS2,2001,Rpg,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53,8.7,1056,SquareSoft,+14,Restrito,Baixo,36.149068322981364,25.71428571428571,33.91304347826087,0.040993788819875775,13.0
The Sims 3,PC,2009,Simulação,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75,7.6,886,The Sims Studio,+14,Restrito,Baixo,12.359550561797752,80.14981273408239,0.0,0.0749063670411985,4.0
Mario & Sonic at the Olympic Games,Wii,2007,Esporte,Sega,2.57,3.86,0.66,0.91,7.99,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,32.165206508135164,48.310387984981226,8.260325406758447,0.11389236545682102,6.0
Star Wars Battlefront (2015),PS4,2015,Tiro,Electronic Arts,2.99,3.49,0.22,1.28,7.98,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,37.468671679197996,43.734335839599,2.756892230576441,0.16040100250626566,19.0
Final Fantasy VIII,PS,1999,Rpg,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24,8.6,644,SquareSoft,+14,Restrito,Baixo,29.00763358778626,21.88295165394402,46.18320610687023,0.029262086513994912,14.0
Pac-Man,2600,1982,Quebra_cabeca,Atari,7.28,0.45,0.0,0.08,7.81,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,93.21382842509604,5.761843790012804,0.0,0.010243277848911653,3.0
Pokémon Platinum Version,DS,2008,Rpg,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46,8.5,203,Game Freak,Livre,Todos,Baixo,35.751295336787564,22.27979274611399,34.84455958549223,0.06994818652849742,15.0
Grand Theft Auto: Liberty City Stories,PSP,2005,Acao,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65,7.6,451,Rockstar Leeds,+17,Restrito,Baixo,37.711313394018205,36.54096228868661,3.120936280884265,0.2249674902470741,11.0
Call of Duty: Advanced Warfare,PS4,2014,Tiro,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39,5.7,1443,Sledgehammer Games,+17,Restrito,Baixo,36.684073107049606,45.43080939947781,1.8276762402088773,0.16057441253263707,20.0
The Legend of Zelda: Ocarina of Time,N64,1998,Acao,Nintendo,4.1,1.89,1.45,0.16,7.6,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,53.94736842105263,24.86842105263158,19.078947368421055,0.02105263157894737,12.0
FIFA 17,PS4,2016,Esporte,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41,5.0,398,"EA Sports, EA Vancouver",Livre,Todos,Baixo,8.695652173913045,75.75757575757575,1.0540184453227932,0.14624505928853757,7.0
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Plataforma,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,49.86807387862797,28.62796833773087,17.282321899736147,0.040897097625329816,14.0
Super Smash Bros. for Wii U and 3DS,3DS,2014,Combate,Nintendo,3.27,1.37,2.43,0.48,7.55,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,43.3112582781457,18.145695364238414,32.18543046357617,0.06357615894039735,2.0
Super Mario Galaxy 2,Wii,2010,Plataforma,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87,9.1,1854,Nintendo EAD Tokyo,Livre,Todos,Baixo,47.4034620505992,31.291611185086555,13.049267643142477,0.08255659121171771,15.0
Super Mario Bros. 2,NES,1988,Plataforma,Nintendo,5.39,1.18,0.7,0.19,7.46,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,72.25201072386058,15.81769436997319,9.383378016085791,0.02546916890080429,16.0
Call of Duty: Black Ops 3,XOne,2015,Tiro,Activision,4.59,2.11,0.01,0.68,7.39,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,62.11096075778079,28.55209742895805,0.13531799729364005,0.09201623815967525,21.0
Call of Duty: World at War,X360,2008,Tiro,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84,7.6,580,Treyarch,+17,Restrito,Baixo,65.17615176151762,25.474254742547426,0.0,0.09349593495934959,22.0
Battlefield 3,X360,2011,Tiro,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57,7.4,2142,EA DICE,+17,Restrito,Baixo,60.92896174863388,28.825136612021858,0.8196721311475409,0.0942622950819672,23.0
Need for Speed Underground,PS2,2003,Corrida,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33,8.6,171,EA Black Box,Livre,Todos,Baixo,45.416666666666664,39.30555555555556,1.1111111111111112,0.14166666666666666,11.0
Just Dance,Wii,2009,Diversos,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21,8.0,110,Ubisoft Paris,+10,Restrito,Baixo,48.333333333333336,41.52777777777778,0.0,0.10138888888888889,10.0
Battlefield 3,PS3,2011,Tiro,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38,7.5,1761,EA DICE,+17,Restrito,Baixo,39.7489539748954,40.306834030683405,4.881450488145048,0.1506276150627615,24.0
Fallout 4,PS4,2015,Rpg,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58,6.5,4228,Bethesda Game Studios,+17,Restrito,Baixo,35.33519553072625,45.67039106145251,3.35195530726257,0.15782122905027932,16.0
Tekken 3,PS,1998,Combate,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15,9.1,367,Namco,+14,Restrito,Baixo,45.67039106145251,31.005586592178773,19.553072625698324,0.040502793296089384,3.0
